#ID = Feature ID									
#chrom = Chromosome number									
#start = The start position on the chromosome									
#end = The end position on the chromosome									
#loc = 									
#meanPos = 									
#cyto = The cytoband on the chromosome.									
#arm = The arm of the chromosome									
#genome.version = The version of the genome used.									
#SPOT_ID = Chromosomal region (hg19)									
ID	chrom	star	end	loc	meanPos	cyto	arm	genome.version	SPOT_ID
X2698714	1	5873031	6023161	5873031	5948096	p36.3	1p	UCSC.HG19_2010-03-08	chr1:5873031-6023161
X3222064	1	6124835	6274901	6124835	6199868	p36.3	1p	UCSC.HG19_2010-03-08	chr1:6124835-6274901
X2698228	1	6362595	6512849	6362595	6437722	p36.3	1p	UCSC.HG19_2010-03-08	chr1:6362595-6512849
X2698207	1	6458991	6564653	6458991	6511822	p36.3	1p	UCSC.HG19_2010-03-08	chr1:6458991-6564653
X2698550	1	6610603	6760809	6610603	6685706	p36.3	1p	UCSC.HG19_2010-03-08	chr1:6610603-6760809
X2702058	1	6879775	6976686	6879775	6928230.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:6879775-6976686
X2698709	1	6836676	7041069	6836676	6938872.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:6836676-7041069
X2698531	1	7113818	7263991	7113818	7188904.5	p36.3	1p	UCSC.HG19_2010-03-08	chr1:7113818-7263991
X2701995	1	7107489	7298145	7107489	7202817	p36.3	1p	UCSC.HG19_2010-03-08	chr1:7107489-7298145
X2698543	1	7224461	7374594	7224461	7299527.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:7224461-7374594
X2698566	1	7336673	7491848	7336673	7414260.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:7336673-7491848
X2698521	1	7782842	7945568	7782842	7864205	p36.2	1p	UCSC.HG19_2010-03-08	chr1:7782842-7945568
X2698572	1	7925991	8010946	7925991	7968468.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:7925991-8010946
X2698716	1	8324179	8474427	8324179	8399303	p36.2	1p	UCSC.HG19_2010-03-08	chr1:8324179-8474427
X2698725	1	8344308	8494561	8344308	8419434.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:8344308-8494561
X2698280	1	8464713	8642777	8464713	8553745	p36.2	1p	UCSC.HG19_2010-03-08	chr1:8464713-8642777
X2698737	1	8584660	8746371	8584660	8665515.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:8584660-8746371
X2698269	1	8746382	8890025	8746382	8818203.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:8746382-8890025
X2698748	1	8807849	8958103	8807849	8882976	p36.2	1p	UCSC.HG19_2010-03-08	chr1:8807849-8958103
X2698259	1	8954639	9104893	8954639	9029766	p36.2	1p	UCSC.HG19_2010-03-08	chr1:8954639-9104893
X2699803	1	8968299	9118749	8968299	9043524	p36.2	1p	UCSC.HG19_2010-03-08	chr1:8968299-9118749
X2698749	1	9065971	9216225	9065971	9141098	p36.2	1p	UCSC.HG19_2010-03-08	chr1:9065971-9216225
X2698554	1	9191445	9341511	9191445	9266478	p36.2	1p	UCSC.HG19_2010-03-08	chr1:9191445-9341511
X2703369	1	9280951	9431069	9280951	9356010	p36.2	1p	UCSC.HG19_2010-03-08	chr1:9280951-9431069
X2698577	1	9306555	9426699	9306555	9366627	p36.2	1p	UCSC.HG19_2010-03-08	chr1:9306555-9426699
X2698756	1	9855443	10005560	9855443	9930501.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:9855443-10005560
X2698734	1	9861553	10011807	9861553	9936680	p36.2	1p	UCSC.HG19_2010-03-08	chr1:9861553-10011807
X2703373	1	10153097	10247067	10153097	10200082	p36.2	1p	UCSC.HG19_2010-03-08	chr1:10153097-10247067
X2698208	1	10339948	10501536	10339948	10420742	p36.2	1p	UCSC.HG19_2010-03-08	chr1:10339948-10501536
X2698505	1	10432202	10582456	10432202	10507329	p36.2	1p	UCSC.HG19_2010-03-08	chr1:10432202-10582456
X2698209	1	10511330	10614037	10511330	10562683.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:10511330-10614037
X2700106	1	10487926	10638478	10487926	10563202	p36.2	1p	UCSC.HG19_2010-03-08	chr1:10487926-10638478
X2698278	1	10651476	10794760	10651476	10723118	p36.2	1p	UCSC.HG19_2010-03-08	chr1:10651476-10794760
X2698217	1	11116398	11217532	11116398	11166965	p36.2	1p	UCSC.HG19_2010-03-08	chr1:11116398-11217532
X2698556	1	11248148	11347582	11248148	11297865	p36.2	1p	UCSC.HG19_2010-03-08	chr1:11248148-11347582
X2698568	1	11326551	11445083	11326551	11385817	p36.2	1p	UCSC.HG19_2010-03-08	chr1:11326551-11445083
X2698247	1	11561961	11688621	11561961	11625291	p36.2	1p	UCSC.HG19_2010-03-08	chr1:11561961-11688621
X2698499	1	11625662	11775879	11625662	11700770.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:11625662-11775879
X2698746	1	11843157	12009360	11843157	11926258.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:11843157-12009360
X2698516	1	11874679	11981795	11874679	11928237	p36.2	1p	UCSC.HG19_2010-03-08	chr1:11874679-11981795
X2698271	1	11949824	12108205	11949824	12029014.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:11949824-12108205
X2698754	1	12109669	12259923	12109669	12184796	p36.2	1p	UCSC.HG19_2010-03-08	chr1:12109669-12259923
X2700116	1	12189568	12362992	12189568	12276280	p36.2	1p	UCSC.HG19_2010-03-08	chr1:12189568-12362992
X2698538	1	12481474	12631720	12481474	12556597	p36.2	1p	UCSC.HG19_2010-03-08	chr1:12481474-12631720
X2703255	1	12856141	12974842	12856141	12915491.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:12856141-12974842
X2698696	1	13870218	14020342	13870218	13945280	p36.2	1p	UCSC.HG19_2010-03-08	chr1:13870218-14020342
X2698741	1	13976197	14047613	13976197	14011905	p36.2	1p	UCSC.HG19_2010-03-08	chr1:13976197-14047613
X2701969	1	13969110	14103429	13969110	14036269.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:13969110-14103429
X2698561	1	14045748	14196522	14045748	14121135	p36.2	1p	UCSC.HG19_2010-03-08	chr1:14045748-14196522
X2698506	1	14418498	14514613	14418498	14466555.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:14418498-14514613
X2698260	1	14461236	14562896	14461236	14512066	p36.2	1p	UCSC.HG19_2010-03-08	chr1:14461236-14562896
X2698757	1	14667977	14818225	14667977	14743101	p36.2	1p	UCSC.HG19_2010-03-08	chr1:14667977-14818225
X2700143	1	14897602	15084468	14897602	14991035	p36.2	1p	UCSC.HG19_2010-03-08	chr1:14897602-15084468
X2698522	1	14939963	15085951	14939963	15012957	p36.2	1p	UCSC.HG19_2010-03-08	chr1:14939963-15085951
X2703256	1	15064023	15191907	15064023	15127965	p36.2	1p	UCSC.HG19_2010-03-08	chr1:15064023-15191907
X2698495	1	15367353	15535832	15367353	15451592.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:15367353-15535832
X2698242	1	15478616	15579409	15478616	15529012.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:15478616-15579409
X2698276	1	15632477	15782706	15632477	15707591.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:15632477-15782706
X2700144	1	15758129	15938293	15758129	15848211	p36.2	1p	UCSC.HG19_2010-03-08	chr1:15758129-15938293
X3222018	1	15758134	15938294	15758134	15848214	p36.2	1p	UCSC.HG19_2010-03-08	chr1:15758134-15938294
X2698579	1	15862320	16032718	15862320	15947519	p36.2	1p	UCSC.HG19_2010-03-08	chr1:15862320-16032718
X2699626	1	15880276	16052919	15880276	15966597.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:15880276-16052919
X2698685	1	16049462	16199605	16049462	16124533.5	p36.2	1p	UCSC.HG19_2010-03-08	chr1:16049462-16199605
X2698573	1	16210368	16297267	16210368	16253817.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16210368-16297267
X2699392	1	16254372	16404563	16254372	16329467.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16254372-16404563
X2698532	1	16267041	16417158	16267041	16342099.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16267041-16417158
X3222315	1	16345299	16517233	16345299	16431266	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16345299-16517233
X2703368	1	16434431	16602157	16434431	16518294	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16434431-16602157
X2698270	1	16522492	16672698	16522492	16597595	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16522492-16672698
X2698693	1	16672897	16847491	16672897	16760194	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16672897-16847491
X2698230	1	16708938	16859192	16708938	16784065	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16708938-16859192
X2698717	1	16813379	16963610	16813379	16888494.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16813379-16963610
X2698210	1	16892786	17038535	16892786	16965660.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:16892786-17038535
X2698275	1	17007688	17125366	17007688	17066527	p36.1	1p	UCSC.HG19_2010-03-08	chr1:17007688-17125366
X2698215	1	17267579	17483784	17267579	17375681.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:17267579-17483784
X2698704	1	17911574	18119743	17911574	18015658.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:17911574-18119743
X2699827	1	17973686	18152224	17973686	18062955	p36.1	1p	UCSC.HG19_2010-03-08	chr1:17973686-18152224
X2698241	1	18051897	18205924	18051897	18128910.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:18051897-18205924
X2698747	1	18626974	18777055	18626974	18702014.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:18626974-18777055
X2698544	1	18918728	19093303	18918728	19006015.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:18918728-19093303
X2698256	1	19210901	19361013	19210901	19285957	p36.1	1p	UCSC.HG19_2010-03-08	chr1:19210901-19361013
X2698266	1	19384214	19534467	19384214	19459340.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:19384214-19534467
X2698705	1	19511131	19661276	19511131	19586203.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:19511131-19661276
X2698229	1	19546448	19696701	19546448	19621574.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:19546448-19696701
X2698715	1	19645740	19795834	19645740	19720787	p36.1	1p	UCSC.HG19_2010-03-08	chr1:19645740-19795834
X2703371	1	19753801	19900090	19753801	19826945.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:19753801-19900090
X2700104	1	19803446	19960441	19803446	19881943.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:19803446-19960441
X2698584	1	19911551	20061805	19911551	19986678	p36.1	1p	UCSC.HG19_2010-03-08	chr1:19911551-20061805
X2698268	1	20020887	20171049	20020887	20095968	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20020887-20171049
X2698755	1	20140641	20334706	20140641	20237673.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20140641-20334706
X2698205	1	20373423	20472094	20373423	20422758.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20373423-20472094
X2698528	1	20373506	20472094	20373506	20422800	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20373506-20472094
X2701939	1	20351916	20537377	20351916	20444646.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20351916-20537377
X2698555	1	20471995	20607565	20471995	20539780	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20471995-20607565
X3222798	1	20539219	20689548	20539219	20614383.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20539219-20689548
X2698218	1	20791682	20941809	20791682	20866745.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20791682-20941809
X2698735	1	20913285	21063538	20913285	20988411.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:20913285-21063538
X2698718	1	21114272	21297539	21114272	21205905.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21114272-21297539
X2698726	1	21282685	21464572	21282685	21373628.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21282685-21464572
X2698567	1	21498682	21648842	21498682	21573762	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21498682-21648842
X2698201	1	21536010	21686189	21536010	21611099.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21536010-21686189
X2698678	1	21561880	21711939	21561880	21636909.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21561880-21711939
X2703200	1	21633345	21742625	21633345	21687985	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21633345-21742625
X2700837	1	21866943	21989388	21866943	21928165.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21866943-21989388
X2702270	1	21875757	22010994	21875757	21943375.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21875757-22010994
X2703366	1	21901056	22051211	21901056	21976133.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21901056-22051211
X2702251	1	21904825	22052335	21904825	21978580	p36.1	1p	UCSC.HG19_2010-03-08	chr1:21904825-22052335
X2698706	1	22031945	22182047	22031945	22106996	p36.1	1p	UCSC.HG19_2010-03-08	chr1:22031945-22182047
X2698238	1	22339106	22468164	22339106	22403635	p36.1	1p	UCSC.HG19_2010-03-08	chr1:22339106-22468164
X2698540	1	22483811	22617779	22483811	22550795	p36.1	1p	UCSC.HG19_2010-03-08	chr1:22483811-22617779
X2700045	1	22493731	22664722	22493731	22579226.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:22493731-22664722
X2703375	1	22934122	23040729	22934122	22987425.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:22934122-23040729
X2702329	1	23111676	23267815	23111676	23189745.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23111676-23267815
X2701051	1	23136217	23283153	23136217	23209685	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23136217-23283153
X2702325	1	23105292	23321795	23105292	23213543.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23105292-23321795
X2698227	1	23206743	23320344	23206743	23263543.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23206743-23320344
X2698574	1	23288512	23438766	23288512	23363639	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23288512-23438766
X2698239	1	23389474	23539728	23389474	23464601	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23389474-23539728
X2703372	1	23438900	23499750	23438900	23469325	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23438900-23499750
X3222085	1	23614757	23799179	23614757	23706968	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23614757-23799179
X2698240	1	23707574	23799730	23707574	23753652	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23707574-23799730
X2698222	1	23756200	23906349	23756200	23831274.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23756200-23906349
X2698563	1	23776896	23906168	23776896	23841532	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23776896-23906168
X2702122	1	23799450	23977915	23799450	23888682.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:23799450-23977915
X2703377	1	24001140	24151190	24001140	24076165	p36.1	1p	UCSC.HG19_2010-03-08	chr1:24001140-24151190
X2702213	1	25009461	25237601	25009461	25123531	p36.1	1p	UCSC.HG19_2010-03-08	chr1:25009461-25237601
X2699357	1	26001105	26205719	26001105	26103412	p36.1	1p	UCSC.HG19_2010-03-08	chr1:26001105-26205719
X2698496	1	26065877	26165686	26065877	26115781.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:26065877-26165686
X2698507	1	26151814	26246773	26151814	26199293.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:26151814-26246773
X2698585	1	26341020	26516752	26341020	26428886	p36.1	1p	UCSC.HG19_2010-03-08	chr1:26341020-26516752
X2698694	1	26366782	26516893	26366782	26441837.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:26366782-26516893
X2698728	1	26413951	26591898	26413951	26502924.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:26413951-26591898
X3222066	1	26735295	26917390	26735295	26826342.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:26735295-26917390
X2698699	1	27211996	27212542	27211996	27212269	p36.1	1p	UCSC.HG19_2010-03-08	chr1:27211996-27212542
X2700125	1	27161340	27311669	27161340	27236504.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:27161340-27311669
X2700765	1	27811149	27961340	27811149	27886244.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:27811149-27961340
X2698518	1	27855860	27980699	27855860	27918279.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:27855860-27980699
X2700775	1	27921814	28071989	27921814	27996901.5	p36.1	1p	UCSC.HG19_2010-03-08	chr1:27921814-28071989
X2700354	1	27856584	28184680	27856584	28020632	p36.1	1p	UCSC.HG19_2010-03-08	chr1:27856584-28184680
X2698578	1	28036472	28171233	28036472	28103852.5	p35.3	1p	UCSC.HG19_2010-03-08	chr1:28036472-28171233
X2698710	1	28100727	28274893	28100727	28187810	p35.3	1p	UCSC.HG19_2010-03-08	chr1:28100727-28274893
X2698519	1	29136712	29284769	29136712	29210740.5	p35.3	1p	UCSC.HG19_2010-03-08	chr1:29136712-29284769
X2702434	1	29701925	29852270	29701925	29777097.5	p35.3	1p	UCSC.HG19_2010-03-08	chr1:29701925-29852270
X2699336	1	29701775	29869036	29701775	29785405.5	p35.3	1p	UCSC.HG19_2010-03-08	chr1:29701775-29869036
X2698204	1	30610576	30769427	30610576	30690001.5	p35.2	1p	UCSC.HG19_2010-03-08	chr1:30610576-30769427
X2698500	1	30690632	30824677	30690632	30757654.5	p35.2	1p	UCSC.HG19_2010-03-08	chr1:30690632-30824677
X2698721	1	30712161	30862462	30712161	30787311.5	p35.2	1p	UCSC.HG19_2010-03-08	chr1:30712161-30862462
X2698524	1	30816333	30929056	30816333	30872694.5	p35.2	1p	UCSC.HG19_2010-03-08	chr1:30816333-30929056
X2698738	1	30862235	31012359	30862235	30937297	p35.2	1p	UCSC.HG19_2010-03-08	chr1:30862235-31012359
X2701976	1	31252063	31415160	31252063	31333611.5	p35.2	1p	UCSC.HG19_2010-03-08	chr1:31252063-31415160
X2698237	1	31290914	31471954	31290914	31381434	p35.2	1p	UCSC.HG19_2010-03-08	chr1:31290914-31471954
X2698596	1	31870986	32016849	31870986	31943917.5	p35.2	1p	UCSC.HG19_2010-03-08	chr1:31870986-32016849
X2698258	1	32541704	32691955	32541704	32616829.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:32541704-32691955
X2700824	1	32645861	32764081	32645861	32704971	p35.1	1p	UCSC.HG19_2010-03-08	chr1:32645861-32764081
X2702234	1	32626215	32789339	32626215	32707777	p35.1	1p	UCSC.HG19_2010-03-08	chr1:32626215-32789339
X2700800	1	32639178	32789307	32639178	32714242.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:32639178-32789307
X2700816	1	32728431	32850582	32728431	32789506.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:32728431-32850582
X2700306	1	32789354	32850579	32789354	32819966.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:32789354-32850579
X2698284	1	32749650	32899807	32749650	32824728.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:32749650-32899807
X2700226	1	33384738	33534854	33384738	33459796	p35.1	1p	UCSC.HG19_2010-03-08	chr1:33384738-33534854
X2698267	1	33456172	33606414	33456172	33531293	p35.1	1p	UCSC.HG19_2010-03-08	chr1:33456172-33606414
X2698224	1	34013906	34118217	34013906	34066061.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:34013906-34118217
X2698245	1	34093876	34205076	34093876	34149476	p35.1	1p	UCSC.HG19_2010-03-08	chr1:34093876-34205076
X2702139	1	34121710	34305798	34121710	34213754	p35.1	1p	UCSC.HG19_2010-03-08	chr1:34121710-34305798
X2698234	1	34153451	34303651	34153451	34228551	p35.1	1p	UCSC.HG19_2010-03-08	chr1:34153451-34303651
X2700095	1	34515331	34665602	34515331	34590466.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:34515331-34665602
X2700086	1	34515425	34665556	34515425	34590490.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:34515425-34665556
X3221957	1	34515091	34678802	34515091	34596946.5	p35.1	1p	UCSC.HG19_2010-03-08	chr1:34515091-34678802
X3222126	1	34826874	35000133	34826874	34913503.5	p34.3	1p	UCSC.HG19_2010-03-08	chr1:34826874-35000133
X2698529	1	35171612	35297972	35171612	35234792	p34.3	1p	UCSC.HG19_2010-03-08	chr1:35171612-35297972
X3222298	1	35505136	35735124	35505136	35620130	p34.3	1p	UCSC.HG19_2010-03-08	chr1:35505136-35735124
X2698503	1	35807161	35957293	35807161	35882227	p34.3	1p	UCSC.HG19_2010-03-08	chr1:35807161-35957293
X2698546	1	37022728	37172844	37022728	37097786	p34.3	1p	UCSC.HG19_2010-03-08	chr1:37022728-37172844
X2700210	1	37042034	37208215	37042034	37125124.5	p34.3	1p	UCSC.HG19_2010-03-08	chr1:37042034-37208215
X2698254	1	37393612	37531908	37393612	37462760	p34.3	1p	UCSC.HG19_2010-03-08	chr1:37393612-37531908
X2698511	1	37526790	37685647	37526790	37606218.5	p34.3	1p	UCSC.HG19_2010-03-08	chr1:37526790-37685647
X2698742	1	37579899	37725403	37579899	37652651	p34.3	1p	UCSC.HG19_2010-03-08	chr1:37579899-37725403
X3222825	1	38952287	39117576	38952287	39034931.5	p34.3	1p	UCSC.HG19_2010-03-08	chr1:38952287-39117576
X2700044	1	39254573	39377426	39254573	39315999.5	p34.3	1p	UCSC.HG19_2010-03-08	chr1:39254573-39377426
X2698264	1	39254360	39404612	39254360	39329486	p34.3	1p	UCSC.HG19_2010-03-08	chr1:39254360-39404612
X2699267	1	39254579	39405292	39254579	39329935.5	p34.3	1p	UCSC.HG19_2010-03-08	chr1:39254579-39405292
X3222382	1	40220134	40382563	40220134	40301348.5	p34.2	1p	UCSC.HG19_2010-03-08	chr1:40220134-40382563
X2698552	1	40475358	40625419	40475358	40550388.5	p34.2	1p	UCSC.HG19_2010-03-08	chr1:40475358-40625419
X2698541	1	40667875	40818041	40667875	40742958	p34.2	1p	UCSC.HG19_2010-03-08	chr1:40667875-40818041
X2700362	1	40648224	40878557	40648224	40763390.5	p34.2	1p	UCSC.HG19_2010-03-08	chr1:40648224-40878557
X2698557	1	41482065	41632301	41482065	41557183	p34.2	1p	UCSC.HG19_2010-03-08	chr1:41482065-41632301
X2701941	1	42421101	42603328	42421101	42512214.5	p34.2	1p	UCSC.HG19_2010-03-08	chr1:42421101-42603328
X2698733	1	42900621	43053848	42900621	42977234.5	p34.2	1p	UCSC.HG19_2010-03-08	chr1:42900621-43053848
X3223034	1	43650789	43844290	43650789	43747539.5	p34.2	1p	UCSC.HG19_2010-03-08	chr1:43650789-43844290
X2699279	1	43650771	43844489	43650771	43747630	p34.2	1p	UCSC.HG19_2010-03-08	chr1:43650771-43844489
X2698569	1	44163591	44299921	44163591	44231756	p34.1	1p	UCSC.HG19_2010-03-08	chr1:44163591-44299921
X2700134	1	45628246	45785085	45628246	45706665.5	p34.1	1p	UCSC.HG19_2010-03-08	chr1:45628246-45785085
X2699244	1	45628230	45785139	45628230	45706684.5	p34.1	1p	UCSC.HG19_2010-03-08	chr1:45628230-45785139
X3222336	1	45679810	45870655	45679810	45775232.5	p34.1	1p	UCSC.HG19_2010-03-08	chr1:45679810-45870655
X2698502	1	45751566	45901259	45751566	45826412.5	p34.1	1p	UCSC.HG19_2010-03-08	chr1:45751566-45901259
X3222131	1	45779988	45920687	45779988	45850337.5	p34.1	1p	UCSC.HG19_2010-03-08	chr1:45779988-45920687
X2698608	1	46626703	46791978	46626703	46709340.5	p34.1	1p	UCSC.HG19_2010-03-08	chr1:46626703-46791978
X2702419	1	46719067	46869194	46719067	46794130.5	p34.1	1p	UCSC.HG19_2010-03-08	chr1:46719067-46869194
X2698248	1	46763079	46913326	46763079	46838202.5	p34.1	1p	UCSC.HG19_2010-03-08	chr1:46763079-46913326
X2699570	1	47298521	47472071	47298521	47385296	p33	1p	UCSC.HG19_2010-03-08	chr1:47298521-47472071
